"TWS+:VaMoS16";"Variability Hiding in Contracts for Dependent Software Product Lines";6;1496079440760;
"P16";"Automating the Synchronization of Software Variants";2;1495616068699;
"RTS+:JLAMP16";"Variability Encoding From Compile-Time to Load-Time Variability";5;1496080522924;
"BSAB:ICSE15";"Symbolic Model Checking of Product-Line Requirements Using SAT-Based Methods";4;1496233744970;
"NBKC:TSE15";"Where Do Configuration Constraints Stem From An Extraction Approach and an Empirical Study";20;1496232663692;
"KSFS:VaMoS15";"Use-Case-Specific Source-Code Documentation for Feature-Oriented Programming";2;1497261234836;
"PCF:ICSR15";"A Systematic Literature Review of Software Product Line Management Tools";11;1497254747148;
"DBW:ECOOP15";"Variability Abstractions Trading Precision for Speed in Family-Based Analyses";8;1496755540067;
"BKL+:AUSE15";"Reasoning about Product-Line Evolution Using Complex Feature Model Differences";11;1496738235286;
"VBM:ICFEM15";"Delta-Oriented FSM-Based Testing";6;1498580981594;
"FLLE:ICSE15";"The ECCO Tool Extraction and Composition for Clone-and-Own";10;1496743642038;
"LFLE:SST15";"Using Traceability for Incremental Construction and Evolution of Software Product Portfolios";4;1495446596768;
"ALL+:GECCO15";"Extracting Variability-Safe Feature Models from Source Code Dependencies in System Variants";9;1496744722920;
"JBAC:SPLC15";"Maintaining Feature Traceability with Embedded Annotations";9;1496745804628;
"MZB+:SPLC15";"Bottom-Up Adoption of Software Product Lines A Generic and Extensible Approach";29;1496773416299;
"LJG+:ICSE15";"Morpheus Variability-Aware Refactoring in the Wild";23;1496774502655;
"useSKT+:ICSE16";"Feature-Model Interfaces for Compositional Analyses";2;1496081605065;
"ES:STTT15";"Mapping the Design Space of Textual Variability Modeling Languages A Refined Analysis";9;1496082686987;
"BLB+:FASE15";"Facilitating Reuse in Multi-Goal Test-Suite Generation for Software Product Lines";10;1498585306155;
"RGA+:ICSE15";"Presence-Condition Simplification in Highly Configurable Systems";11;1496083767852;
"SSW:ICSME15";"Forked and Integrated Variants in an Open-Source Firmware Project";8;1494464108358;
"SGKA:ESECFSE15";"Performance-Influence Models for Highly Configurable Systems";32;1496084849492;
"LEGP:MODELS15";"Feature Modeling of Two Large-Scale Industrial Software Systems Experiences and Lessons Learned";9;1495447677690;
"FAB+:SPLC15";"Assessing Product Line Derivation Operators Applied to Java Source Code An Empirical Study";1;1494465190730;
"OGRT:SLE15";"Using Decision Rules for Solving Conflicts in Extended Feature Models";4;1496765842350;
"RBR+:SPLC15";"Fault-Based Product-Line Testing Effective Sample Generation Based on Feature-Diagram Mutation";6;1496085931465;
"LBS:SANER15";"Towards Incremental Model Slicing for Delta-Oriented Software Product Lines";5;1496087012377;
"LLL+:SPLC15";"Delta-Oriented Test Case Prioritization for Integration Testing of Software Product Lines";6;1496088093828;
"AGV:ICST15";"Generating Tests for Detecting Faults in Feature Models";11;1496089174845;
"S15";"An Annotation-Centric Approach to Similarity Management";1;1496090256281;
"SSR:sosym15";"Variability Testing in the Wild The Drupal Case Study";10;1496091338025;
"WKP:VaMoS15";"Uncovering Variability Models for Software Ecosystems from Multi-Repository Structures";3;1495448758846;
"LG:VaMoS15";"Using Feature Feeds to Improve Developer Awareness in Software Ecosystem Evolution";6;1496092419465;
"M:SE15";"Scalable Sampling and Prioritization for Product-Line Testing";5;1495449840935;
"TAK+:SE15";"Analysis Strategies for Software Product Lines A Classification and Survey";1;1496093501744;
"T15";"Product-Line Specification and Verification with Feature-Oriented Contracts";6;1496135625793;
"BDS:SCP14";"Implementing Type-Safe Software Product Lines Using Parametric Traits";12;1496136707136;
"MJ:TAOSD14";"Modular Reasoning in Aspect-Oriented Languages from a Substitution Perspective";4;1496137792051;
"SSA:Modellierung14";"DeltaEcore - A Model-Based Delta Language Generation Framework";16;1496147522160;
"KHS+:PPPJ14";"DeltaJ 1.5 Delta-Oriented Programming for Java 1.5";18;1496145359947;
"WKE+:Onward14";"Variational Data Structures Exploring Tradeoffs in Computing with Variability";18;1496766924229;
"DPL+:ISoLA14";"Coverage Criteria for Behavioural Testing of Software Product Lines";14;1496768005450;
"SDCE:ICSE14";"Case Studies and Tools for Contract Specifications";12;1496769086630;
"DPS:SPLat14";"Abstract Test Case Generation for Behavioural Testing of Software Product Lines";9;1495043240045;
"BV:ISoLA14";"Towards Modular Verification of Software Product Lines with mCRL2";13;1495035673764;
"VK:APSEC14";"Model Checking of Software Product Lines in Presence of Nondeterminism and Probabilities";0;1494466272774;
